Gene Symbol,lacZ 1,lacZ 2,lacZ 3,lacZ 4,lacZ 5,lacZ 6,HA cont 1,HA cont 2,HA cont 3,HA cont 4,HA chol 1,HA chol 2,HA chol 3,HA chol 4,HA bor 1,HA bor 2,HA bor 3,HA bor 4
Slc27a5,-0.459901815,-0.035084165,0.034369078,0.571322152,-0.092128286,0.456027395,-0.412668553,-0.718394059,0.145113541,0.289200692,-0.626261765,-0.561383202,1.004420321,0.431608934,-0.733345593,-0.516613239,-0.216286582,-0.119998528
Eif4a2,0.162210047,0.767692339,-0.303897661,0.637246979,0.500139214,0.934684801,-0.401908585,0.08188656,1.108914522,0.524653382,0.727171592,0.253945328,0.832993216,1.154633134,0.409025991,0.142434314,2.393604918,4.094159187
Cyp2c50,-0.402268806,-0.414105168,-0.003513794,0.44573326,-0.243110239,0.846559764,-0.327843943,-1.349037021,-0.07359362,0.097390138,-0.320973153,-0.541873479,0.225116327,0.449178746,-0.775897519,-0.401883606,-0.937297774,-0.114669818
Hsp90b1,0.040815748,0.67982257,-1.690754067,-0.519960843,-0.735360083,0.191733856,0.109360911,-0.237827972,-0.013213446,-0.25914861,0.533447709,-0.004918203,-0.223001012,0.453984001,0.126778258,0.58395383,-0.262662806,1.596508254
Cps1,-0.393422609,0.082983411,0.008724737,-0.514441621,-0.265897336,-0.097390009,-0.249463017,-0.525039724,-0.229973589,-0.205978697,-0.213377471,-0.418121312,0.065736996,0.456961254,-0.683333976,-0.317171394,-0.91420621,-0.092246625
Tuba3a,0.956919353,-0.224163596,0.127981624,-0.51828764,-0.09749932,-0.119220311,-0.344332464,-0.4335276,0.587127329,-0.06482196,0.136617666,-0.009059412,0.111945912,0.76379717,0.109236257,0.013531438,0.255874528,3.072987014
Farsb,-0.296661393,0.002299168,-1.44748844,-0.657493164,-0.535341554,-0.08294245,-0.016272976,-0.22224389,0.805170016,-0.039672204,0.318834309,0.281219292,0.319318817,0.898982296,-0.37470703,0.081562365,0.43273351,1.988895904
Ppia,1.392519658,0.998094812,-1.220168378,0.243480207,0.449010655,0.424412474,0.359989141,0.18387334,0.218823697,-0.263435492,-0.092644575,1.091087879,-0.081198855,0.461718771,1.074060008,1.275036003,1.800744187,0.379102115
Cyp2d26,-0.33005263,0.928093724,-1.216193254,0.085313979,-0.628886889,0.899389124,0.1383442,-0.560636462,-0.658042943,-0.164077643,-0.05705288,-0.243728845,-0.034197079,0.279841044,-0.233060649,0.225218767,-0.930493607,0.376262647
Gapdh,0.421479985,0.547162673,-1.067256276,0.173958635,-0.176976651,0.104411047,0.173309345,0.217838333,0.130933036,-0.00344608,0.597098506,0.505891755,-0.324679425,0.646118087,0.957419882,0.639500919,0.733807206,-0.08695135
Rpl19,0.275375794,0.570683275,-0.549684766,0.015094823,-0.931337383,0.067889991,0.458263883,0.43074718,-0.128923657,0.048741514,0.668581171,0.40366412,0.365799629,0.526491281,-0.535406966,-0.614105664,-0.733561483,0.008345969
P4hb,0.117086404,0.993470896,-1.487125616,-0.040429037,-1.017199618,0.758202478,0.527031682,0.073818477,-0.513224682,-0.420250087,0.490395352,0.169894647,-0.116315209,0.371149326,0.241174198,0.544834663,-0.46660204,0.797048002
Cat,-0.399057678,0.007457817,-1.010221835,-0.186367007,-0.419882464,-0.376133681,-0.090898324,-0.09679495,-0.129617111,-0.643454661,0.20014646,0.031533247,-0.387266467,0.227790352,-0.116235639,-0.113515014,-0.099521538,0.106387983
